control,r_samehh
'107730910147','2'
'107846960148','1'
'107926920147','1'
'107934310143','1'
'108037730149','2'
'108248370148','1'
'108261370143','1'
'108321770149','1'
'108348190148','1'
'108389360143','1'
'108410750149','2'
'108517350148','1'
'108577320144','1'
'108579330148','1'
'108730770144','2'
'108828360140','2'
'108896990141','1'
'109037910146','2'
'109102700147','1'
'109248130145','1'
'109261130140','1'
'109410930146','2'
'109433300146','1'
'109494550140','1'
'109517110145','2'
'109577180141','1'
'109577590141','1'
'109579190145','1'
'109579500145','1'
'109846900142','1'
'109926960141','2'
'110102570141','1'
'110410390140','1'
'110494720146','1'
'110497790141','1'
'111389980143','1'
'111433740149','1'
'111497560147','2'
'111517970148','2'
'112092510145','2'
'112389340149','1'
'112389740140','1'
'112517730145','2'
'113433780143','1'
'113494120146','1'
'113494530146','1'
'113497190141','1'
'113497500141','1'
'113638920147','2'
'114433550149','1'
'115727300146','1'
'116934140143','1'
'116934550143','1'
'129046400149','2'
'129059900147','2'
'129121430247','2'
'129158480147','1'
'129186430246','1'
'129246430148','2'
'129269960140','2'
'129319430146','2'
'129321480140','1'
'129321970140','1'
'129329410148','1'
'129425410141','1'
'129433940245','2'
'129480430147','1'
'129515900145','2'
'129558470145','1'
'129600940146','2'
'129606990146','2'
'129684480148','2'
'129697420141','2'
'129782920140','2'
'129822460148','1'
'129939970142','1'
'129943430345','1'
'138037360149','2'
'138037510149','1'
'139670780147','1'
'139853190145','2'
'139853350145','1'
'139853500145','1'
'140142038080','2'
'140711770141','1'
'140929520140','1'
'140929520249','2'
'141711390147','2'
'141711540147','1'
'141853790148','1'
'141853950148','1'
'142711150144','1'
'142711560144','2'
'142853710145','1'
'142853970145','1'
'143150740148','2'
'143150820148','1'
'143150900148','1'
'143357340147','1'
'143579100142','1'
'143711580141','2'
'143853730142','2'
'143853990142','2'
'144150430145','1'
'144150840145','1'
'144357100144','1'
'144357280144','2'
'144357690144','1'
'144711190247','1'
'144853190148','1'
'144853350148','1'
'144929750149','2'
'144929910149','2'
'145336130140','1'
'145336390140','1'
'145336620140','1'
'145357460141','2'
'145357870141','2'
'145579150145','1'
'145579310145','1'
'145711530144','2'
'145853780145','1'
'146150480148','1'
'146150710148','1'
'146150970148','1'
'146336080146','1'
'146357640147','1'
'146711140141','1'
'146711300141','2'
'146711550141','1'
'146853700142','2'
'146853960142','1'
'147037190149','1'
'147150400145','2'
'147357250144','1'
'147357660144','2'
'147853320148','2'
'147853570148','2'
'147929720149','2'
'147929980149','1'
'148037520146','1'
'148150830142','2'
'148336020140','1'
'148357270141','1'
'148357680141','1'
'148853340145','2'
'148929740146','2'
'148929900146','1'
'149150290148','2'
'149150520148','2'
'149336770149','2'
'149357040147','2'
'149853100142','1'
'149853360142','2'
'149929920143','2'
'150150130142','1'
'150150390142','1'
'150336790143','2'
'150336950143','1'
'150357060141','2'
'150670560147','1'
'150711780147','1'
'150711940147','2'
'150929120146','2'
'151336150149','1'
'151336310149','1'
'151336640149','1'
'151336970140','1'
'151579990145','1'
'151929140143','1'
'151929550143','1'
'152336170146','2'
'152336250146','1'
'152336580146','1'
'152357730147','2'
'152357990147','1'
'152711720141','1'
'152711980141','1'
