CONTROL,RMOV,XCOND,XCOOP,XCOST,XHEAD,XINUS,XPER,XREL,XTEN,XUNIT,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'686939190142',2,'3','-6','-7','1','-9',1,'-6','2','2','2','-9','-9','-9','-9','1'
'686939190142',3,'3','-6','-7','2','-9',-7,'1','1','1','3','-9','-9','-9','-9','-9'
'686941160140',-9,'-9','-6','-9','-9','-9',-7,'-6','3','-9','1','1','1','-9','1','-9'
'687002340147',1,'3','-6','2','1','-9',5,'-6','2','1','1','-9','-9','-9','-9','-9'
'687003490146',1,'3','-6','1','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'687003800146',1,'3','-6','1','1','-9',5,'-6','2','1','1','-9','-9','-9','-9','-9'
'687027740140',1,'-8','-6','-7','-8','-9',-8,'-6','2','-8','1','-9','1','-9','-9','-9'
'687029720142',1,'3','-6','3','2','-9',2,'2','2','2','1','-9','-9','-9','-9','-9'
'687033390146',1,'3','-6','-7','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'687067330147',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'687091960144',1,'3','-6','3','2','-9',5,'2','1','1','1','-9','-9','-9','-9','-9'
'687099780147',1,'3','-6','2','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'687103150146',1,'3','-6','3','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'687103310146',1,'3','-6','2','2','-9',5,'2','2','1','1','-9','-9','-9','-9','-9'
'687107120140',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'687107530140',1,'2','-6','2','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'687107530249',1,'3','-6','1','2','-9',5,'1','1','1','1','-9','-9','-9','-9','-9'
'687121090144',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'687125990148',1,'3','-6','1','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'687167450140',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'687168510140',1,'3','-6','2','2','-9',5,'2','2','1','1','-9','-9','-9','-9','-9'
'687169230146',1,'2','-6','1','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'687196570143',1,'3','-6','2','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'687243350147',1,'3','-6','3','2','-9',-7,'2','2','2','1','-9','-9','-9','-9','-9'
'687243500147',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'687276700147',1,'2','-6','2','1','-9',5,'-6','2','2','1','-9','-9','-9','-9','-9'
'687276960147',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'687281520142',1,'3','-6','-7','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'687294510140',1,'4','-6','2','2','-9',2,'2','2','2','1','-9','-9','-9','-9','-9'
