CONTROL,OWNHERE,JWNHER
'177319770146','1','-9'
'177319930146','1','-9'
'177336693056','1','-9'
'177357100144','2','-9'
'177357280144','2','2'
'177357433057','2','-9'
'177357510144','1','-9'
'177357843057','2','-9'
'177379760144','2','2'
'177379920441','2','-9'
'177384013059','2','-9'
'177384673050','2','-9'
'177384740149','2','-9'
'177452360149','1','-9'
'177452760140','1','-9'
'177482300140','-6','-9'
'177482550140','-6','-9'
'177486413051','2','-9'
'177486823051','2','-9'
'177493480147','1','-9'
'177493890147','-6','-9'
'177494273054','-6','-9'
'177494683054','2','-9'
'177500250148','-6','-9'
'177502023053','-6','-9'
'177502910143','-6','-9'
'177558970145','2','2'
'177778170148','1','-9'
'177778330148','-6','-9'
'177788130340','2','-9'
'177788130449','2','-9'
'177846370145','2','-9'
'177846520145','1','-9'
'177873970142','2','-9'
'177903180148','2','-9'
'177926350142','1','-9'
'177954810149','2','-9'
'177963230146','2','-9'
'177963640146','1','-9'
'177963890246','-6','-9'
'177987920342','2','-9'
'178005520141','2','-9'
'178053120140','2','-9'
'178053380140','2','-9'
'178129750146','2','-9'
'178141920142','2','-9'
'178150053052','1','-9'
'178150860142','2','-9'
'178185940147','1','-9'
'178206330146','2','-9'
'178206580146','2','-9'
'178206813059','2','-9'
'178242253058','2','-9'
'178258423054','-6','-9'
'178281740142','2','-9'
'178357200141','2','-9'
'178358480147','1','-9'
'178358890147','-6','-9'
'178379860141','2','-9'
'178384033056','2','-9'
'178452610146','2','-9'
'178482570246','-6','-9'
'178500270145','2','-9'
'178515930142','2','-9'
'178558730142','2','-9'
'178594050145','2','-9'
'178638250141','-6','-9'
'178751980148','2','-9'
'178778190145','1','-9'
'178778350145','2','-9'
'178778500145','2','-9'
'178788310149','1','-9'
'178788560149','2','-9'
'178788710140','-6','-9'
'178788970140','2','-9'
'178822680244','-6','-9'
'178873580148','2','-9'
'178880730147','1','-9'
'178880990147','2','-9'
'178903510145','1','-9'
'178903843058','-6','-9'
'178941230146','2','-9'
'178941640146','1','-9'
'178954420146','2','-9'
'179015990147','2','-9'
'179037243253','2','-9'
'179037493056','-6','-9'
'179045740142','-6','-9'
'179086180144','2','-9'
'179086340144','2','-9'
'179086590144','2','-9'
'179185700144','2','-9'
'179196760144','2','-9'
'179196920144','-6','-9'
'179206423056','1','-9'
'179206833056','2','-9'
'179238920149','2','2'
'179258853051','-6','-9'
'179261920149','-6','-9'
'179281100148','1','-9'
'179281360148','-6','-9'
'179281510148','-6','-9'
'179319560149','1','-9'
'179321360143','2','-9'
'179321510143','2','-9'
'179336073059','1','-9'
'179336633050','1','-9'
'179336700149','2','-9'
'179357473051','2','-9'
'179358400144','1','-9'
'179358810144','1','2'
'179379220147','2','-9'
'179379630147','1','-9'
'179384053053','1','-9'
'179389750149','2','-9'
'179452140143','1','-9'
'179452550143','2','-9'
'179500290142','1','-9'
'179500600142','2','-9'
'179515130148','2','-9'
'179515390148','2','-9'
'179550110148','-6','-9'
'179558190148','-6','-9'
'179579243352','-6','-9'
'179583293050','2','-9'
'179670093054','-6','-9'
'179670243154','-6','-9'
'179687950149','-6','-9'
'179751740145','2','2'
'179751900145','-6','-9'
'179778110142','1','-9'
'179788580146','-6','-9'
'179828750146','2','-9'
'179828910146','2','-9'
'179880023054','1','-9'
'179880750144','2','2'
'179880910144','2','-9'
'179903120142','2','-9'
'179939360145','2','-9'
'179941250143','1','-9'
'179941660143','1','-9'
'179954440143','2','-9'
'179954850143','2','2'
'180015350141','-6','-9'
'180053490143','2','-9'
'180185160247','1','-9'
'180194110148','1','-9'
'180194370148','1','-9'
'180194520148','1','-9'
'180206770149','1','-9'
'180238120143','2','2'
'180238530143','1','-9'
'180242110148','1','2'
'180242370148','2','-9'
'180248120148','2','-9'
'180258063054','-6','-9'
'180258950144','-6','-9'
'180261380143','2','-9'
'180261530143','2','-9'
'180273940144','1','-9'
'180281380242','2','-9'
'180358020147','1','-9'
'180379090141','2','-9'
'180383130147','-6','-9'
'180383390147','-6','-9'
'180383540147','-6','-9'
'180389110143','2','-9'
'180452980149','1','-9'
'180500460148','2','-9'
'180500870148','1','2'
'180550623055','2','-9'
'180572140143','-6','-9'
'180577330144','-6','-9'
'180577580144','-6','-9'
'180589930141','-6','-9'
'180594160148','1','-9'
'180594320148','2','-9'
'180622120140','2','-9'
'180622380140','1','-9'
'180622530140','2','-9'
'180670413051','-6','-9'
'180730780144','2','2'
'180730940144','1','-9'
'180733360146','2','-9'
'180733510146','1','-9'
'180749720140','2','-9'
'180818600145','2','-9'
'180822620147','2','-9'
'180828110140','2','-9'
'180846990145','-6','-9'
'180848780141','2','-9'
'180848940141','2','-9'
'180890760147','2','-9'
'180890920147','1','-9'
'180941830149','-6','-9'
'180963440146','2','-9'
'180963850146','2','-9'
'181053410140','2','-9'
'181053820140','-6','-9'
'181086780147','-6','-9'
'181194130145','1','-9'
'181194390145','2','-9'
'181194540145','2','-9'
'181200520148','-6','-9'
'181242130145','1','2'
'181242390145','1','-9'
'181242540145','1','2'
'181258083051','-6','-9'
'181258643151','2','-9'
'181258710141','1','-9'
'181258970141','2','-9'
'181261140140','1','-9'
'181261300140','-6','-9'
'181273700141','2','-9'
'181294790149','1','-9'
'181336260140','2','-9'
'181336590140','1','-9'
'181357820141','2','-9'
'181357900141','1','-9'
'181358040144','2','-9'
'181408840146','2','-9'
'181437560145','1','-9'
'181452900146','2','-9'
'181500480145','1','-9'
'181500710145','1','-9'
'181500970145','1','-9'
'181517120145','-6','-9'
'181550233052','1','-9'
'181550643052','2','-9'
