control,ownhere,JWNHER
'179321510143','2','-9'
'179336700149','2','-9'
'179358400144','2','-9'
'179358810144','1','-9'
'179379220147','2','-9'
'179379630147','1','-9'
'179389750149','1','-9'
'179452140143','2','-9'
'179452550143','2','-9'
'179500290142','1','2'
'179515130148','2','-9'
'179515390148','2','-9'
'179550110148','2','-9'
'179558190148','-6','-9'
'179638190247','-6','-9'
'179687950149','-6','-9'
'179751740145','2','2'
'179778110142','2','-9'
'179788580146','-6','-9'
'179828750146','2','2'
'179828910146','2','-9'
'179880910144','2','-9'
'179890340141','2','-9'
'179903120142','2','-9'
'179939360145','1','-9'
'179941660143','1','-9'
'179954440143','2','-9'
'179954850143','2','2'
'179987470148','2','-9'
'180053490143','2','2'
'180185160247','1','-9'
'180194110148','1','-9'
'180194370148','2','-9'
'180206770149','1','-9'
'180238530143','1','-9'
'180242110148','1','-9'
'180242370148','1','-9'
'180248120148','2','-9'
'180273940144','1','-9'
'180281380242','2','-9'
'180358020147','-6','-9'
'180379090141','2','-9'
'180383130147','2','-9'
'180383390147','-6','-9'
'180389110143','-6','-9'
'180452980149','1','-9'
'180482360149','-6','-9'
'180482760249','-6','-9'
'180482920140','-6','-9'
'180494150141','-6','-9'
'180500460148','1','-9'
'180500870148','1','-9'
'180572140143','-6','-9'
'180577580144','-6','-9'
'180594160148','1','-9'
'180594320148','1','2'
'180594570148','2','-9'
'180622120140','2','-9'
'180622380140','1','-9'
'180622530140','2','-9'
'180638770144','2','-9'
'180730780144','2','-9'
'180730940144','2','-9'
'180733360146','2','-9'
'180733510146','1','-9'
'180749720140','1','-9'
'180818600145','-6','-9'
'180822620147','2','-9'
'180828110140','2','-9'
'180846990145','-6','-9'
'180848780141','2','-9'
'180848940141','2','-9'
'180890760147','2','-9'
'180890920147','2','-9'
'180963850146','2','-9'
'180987650142','-6','-9'
'181005990141','1','-9'
'181053410140','2','-9'
'181194130145','2','-9'
'181194390145','2','-9'
'181200520148','-6','-9'
'181238300140','-6','-9'
'181242390145','1','-9'
'181258710141','1','-9'
'181261140140','1','-9'
'181294790149','1','-9'
'181336590140','1','-9'
'181357820141','1','-9'
'181437560145','1','-9'
'181452900146','2','-9'
'181486320144','-6','-9'
'181500480145','1','-9'
'181500710145','2','-9'
'181500970145','1','-9'
'181577500141','-6','-9'
'181583150140','2','-9'
'181583310140','1','-9'
'181583560140','2','-9'
'181594180145','1','-9'
'181594340145','2','-9'
'181594590145','2','-9'
'181597720141','2','-9'
'181638870141','2','-9'
'181733120143','2','-9'
'181733380143','2','-9'
'181749590146','2','-9'
'181818210142','1','-9'
'181822230144','2','-9'
'181822560144','2','-9'
'181850970146','1','-9'
'181895900147','2','-9'
'181954080143','2','-9'
'181963870143','1','2'
'182003760241','2','-9'
'182053280146','2','-9'
'182053510146','1','-9'
'182103760340','2','-9'
'182125530142','-6','-9'
'182150840148','1','2'
'182194310142','-6','-9'
'182200390145','2','-9'
'182206710143','2','-9'
'182242310142','1','-9'
'182248160142','2','-9'
'182248570142','-6','-9'
'182258330147','1','-9'
'182273320147','-6','-9'
'182281720148','2','-9'
'182346050141','2','-9'
'182357360147','2','-9'
'182379430147','2','-9'
'182379920147','2','-9'
'182383170141','-6','-9'
'182389080146','1','-9'
'182408860143','2','-9'
'182410700143','1','-9'
'182437330142','1','-9'
'182486590141','-6','-9'
'182512180240','2','-9'
'182515910148','2','-9'
'182517550142','2','-9'
'182558080245','2','-9'
'182591540445','2','-9'
'182594360142','1','-9'
'182594510142','1','-9'
'182597590147','2','-9'
'182638310147','-6','-9'
'182730320147','-6','-9'
'182746200142','2','-9'
'182746610142','2','-9'
'182749100143','2','-9'
'182788950146','1','-9'
'182806560145','2','2'
'182809180141','2','-9'
'182809340141','1','-9'
'182809930142','1','-9'
'182818080148','1','-9'
'182822250141','2','-9'
'182848570144','1','-9'
'182895760144','2','2'
'182939720145','-6','-9'
'182954250240','2','-9'
'182963230149','2','-9'
'182963640149','-6','-9'
'182963890140','1','-9'
'182987030145','2','-9'
'183029710146','2','-9'
'183052780146','2','-9'
'183053120143','2','-9'
'183053380143','1','-9'
'183053530143','2','-9'
'183086720141','-6','-9'
'183086980141','2','-9'
'183103940149','1','2'
'183121120148','2','-9'
'183141920145','-6','-9'
'183142030143','1','-9'
'183150780145','2','-9'
'183200310142','2','-9'
'183200560142','2','-9'
'183206170149','1','2'
'183206990140','2','-9'
'183267330347','-6','-9'
'183269730140','1','-9'
'183269990140','-6','-9'
'183282550147','1','-9'
'183294730143','2','-9'
'183319790146','1','-9'
'183319950146','2','-9'
'183321740140','2','-9'
'183357380144','2','-9'
'183408140149','2','-9'
'183408550149','2','-9'
'183408700140','2','-9'
'183410320149','1','-9'
'183443530145','1','-9'
'183452120149','2','-9'
'183452380149','2','-9'
'183452860140','-6','-9'
'183468300149','1','-9'
'183500680148','2','-9'
'183515770145','2','-9'
'183515930145','1','-9'
'183550750145','-6','-9'
'183589330141','1','-9'
'183589580141','1','-9'
'183593500142','1','-9'
'183594050148','2','-9'
'183597100144','2','-9'
'183597360144','2','2'
'183671120148','2','-9'
'183671380148','2','-9'
'183749120140','-6','-9'
'183791800143','2','-9'
'183806170142','2','-9'
'183806580142','2','-9'
'183809390148','2','-9'
'183818000145','-6','-9'
'183818250245','2','-9'
'183822020147','-6','-9'
'183846390145','-6','-9'
'183850750140','-6','-9'
'183873730142','2','2'
'183890160147','-6','-9'
'183903360148','2','-9'
'183910790149','1','-9'
'183925280144','2','-9'
'183925840244','-6','-9'
'183941640149','-6','-9'
'183944750143','2','-9'
'183944910143','2','-9'
'183954420149','2','-9'
'183963250146','-6','-9'
'183963660146','1','-9'
'183987120242','2','-9'
'184005130141','2','-9'
'184045740145','-6','-9'
'184045900145','-6','-9'
'184053070149','1','-9'
'184053220140','2','-9'
'184067320344','2','-9'
'184067720147','2','2'
'184067980147','1','-9'
'184086340147','1','-9'
'184103960146','2','2'
