control,ROTHE,rgroc,rclot,rcarp,rkidc,rmedi,rutil,rcost
'200120380145','2','-9','-9','-9','-9','-9','-9','-9'
'200129230103','2','-9','-9','-9','-9','-9','-9','-9'
'200168780246','2','-9','-9','-9','-9','-9','-9','-9'
'200181750140','2','-9','-9','-9','-9','-9','-9','-9'
'200192380245','2','-9','-9','-9','-9','-9','1','-9'
'200206120143','2','-9','-9','-9','-9','-9','-9','-9'
'200207130103','2','-9','-9','-9','-9','-9','-9','-9'
'200229140145','2','-9','-9','-9','-9','-9','-9','-9'
'200253130341','2','-9','-9','-9','-9','-9','-9','-9'
'200261170144','2','-9','-9','-9','-9','-9','-9','-9'
'200269530143','1','-9','-9','-9','-9','1','-9','-9'
'200273230103','2','-9','-9','-9','-9','-9','-9','-9'
'200277370142','1','-9','-9','-9','-9','-9','-9','-9'
'200287100148','2','1','-9','-9','-9','1','1','-9'
'200295570149','2','-9','-9','-9','-9','-9','-9','-9'
'200306740140','2','-9','-9','-9','-9','-9','-9','-9'
'200321430103','2','-9','-9','-9','-9','-9','-9','-9'
'200380330103','2','-9','-9','-9','-9','-9','-9','-9'
'200380520149','2','-9','-9','-9','-9','-9','-9','-9'
'200440730140','2','-9','-9','-9','-9','-9','1','-9'
'200472730142','2','-9','-9','1','-9','-9','-9','-9'
'200493940141','2','-9','-9','-9','-9','-9','-9','-9'
'200577230103','2','-9','-9','-9','-9','-9','-9','-9'
'200583230103','2','-9','-9','-9','-9','-9','-9','-9'
'200596340146','2','-9','-9','-9','-9','-9','-9','-9'
'200596590146','2','-9','-9','-9','-9','-9','-9','-9'
'200623530103','2','-9','-9','-9','-9','-9','-9','-9'
'200783190146','2','-9','-9','-9','1','-9','-9','-9'
'200800330203','1','1','-9','-9','-9','-9','-9','-9'
'200809720146','2','-9','-9','-9','-9','-9','-9','-9'
'200848740348','2','-9','-9','-9','-9','-9','-9','-9'
'200850230103','2','-9','-9','-9','-9','-9','-9','-9'
'200853160142','2','-9','-9','-9','-9','-9','-9','-9'
'200853570142','2','-9','-9','-9','-9','-9','-9','-9'
'200921100143','2','1','-9','-9','-9','-9','-9','-9'
'200922140144','2','-9','-9','-9','-9','-9','-9','-9'
'200929980143','2','-9','-9','-9','-9','-9','-9','-9'
'200944530103','2','-9','-9','-9','-9','-9','-9','-9'
